id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,85,2,304,2025-03-09,1.85,1,315,22,
84771,Campus Retreat,321037,Lucien,,78705,30.29386,-97.74188,Entire home/apt,,2,12,2018-01-01,0.13,2,0,0,
89475,"2 Living Rooms, Lots of Big Beds! 3 king, 2 queen",487072,Greg & Amanda,,78757,30.35681,-97.72618,Entire home/apt,302,45,126,2024-12-30,0.83,11,335,4,
90957,"SOCO Austin, TX Guest Room in 2Bedroom House",236847,Lester,,78704,30.24574,-97.74828,Private room,104,1,12,2025-03-08,0.07,1,360,3,
104386,South Austin Cottage 78704 - 2BR,543367,Mary,,78704,30.24111,-97.76316,Entire home/apt,150,31,139,2023-11-16,0.83,1,1,0,
104394,SanctuarySuite on Preserve near Downtown,543424,Jill,,78745,30.20276,-97.82506,Private room,51,30,78,2023-11-25,0.46,1,0,0,
109005,Historic Artist Bungalow near Town Lake Trail,552705,"Amanda (Marz, Nickname)",,78703,30.282673315905875,-97.76861987810229,Entire home/apt,220,2,40,2025-02-27,0.37,1,2,20,
113779,Spacious 1BR w/ Office in Hyde Park,578211,Pete,,78751,30.302697072020656,-97.72945057695215,Entire home/apt,143,20,111,2025-01-22,0.69,10,338,6,
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,,1,2,2019-04-14,0.01,3,0,0,
128326,Austin City Limits-Private Pool-by Nature Preserve,634580,Morrie And Rachel,,78736,30.24309,-98.0028,Entire home/apt,252,3,91,2024-06-09,0.55,1,338,1,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.302150849943853,-97.73045704342533,Entire home/apt,119,14,108,2025-02-26,0.66,10,357,16,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397191433578,-97.73037344431609,Entire home/apt,114,20,112,2025-03-01,0.68,10,342,9,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,135,30,214,2025-02-12,1.43,2,3,4,
154103,"4 BDR Home Ideal for SXSW, F1, ACL",741170,Scott,,78704,30.25103,-97.7814,Entire home/apt,339,3,15,2022-03-16,0.09,1,168,0,
158398,"Barton Hills Oasis, SXSW, close to Zilker!",760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,1098,4,19,2023-10-23,0.12,1,217,0,
174828,Light & Airy Central Austin Retreat!,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,334,2,395,2025-03-03,2.41,1,67,15,
195674,"Large Zilker Home, Downtown- SOCO-ACL!",951551,Lori,,78704,30.25775,-97.76703,Entire home/apt,650,2,43,2024-10-20,0.29,1,357,2,
202187,South Congress Apartment,989596,John,,78704,30.24867,-97.74678,Entire home/apt,71,1,1096,2025-02-20,6.69,2,153,78,
207054,2/1 Mid-Century Home 1 mile from Downtown,1018853,Merri G,,78741,30.24434,-97.73069,Entire home/apt,250,3,231,2025-02-23,1.42,1,94,15,
208897,Bright & Cozy Haven in East Austin,1029071,Suzanne,,78702,30.263203,-97.699829,Entire home/apt,214,3,194,2025-02-16,1.45,1,0,25,
210834,Charming DT ATX 3BR Cottage/Walk to S. Congress,1039968,Megan,,78704,30.2527,-97.74385,Entire home/apt,400,3,22,2024-02-28,0.15,2,91,0,
216473,The Cliff Studio,1117367,H. G.,,78704,30.26293,-97.76403,Entire home/apt,367,2,2,2024-10-13,0.24,1,281,2,
218402,New to Austin?  Perfect WFH Suite!,1129520,Paulette,,78754,30.36145,-97.64397,Private room,34,28,36,2025-02-28,0.22,1,67,7,
219168,SOCO Living,1134580,Kalu,,78704,30.24519,-97.74486,Entire home/apt,,2,8,2016-10-09,0.05,1,0,0,
222986,Circa 1899 Luxe Spa House - Walk DT,1157982,Lyon,,78702,30.25753,-97.7313,Entire home/apt,475,20,53,2017-10-01,0.33,5,243,0,
224603,Modern Studio Loft,1169129,Kristy,,78751,30.30732,-97.72782,Entire home/apt,81,60,119,2025-03-08,0.73,1,1,3,
227372,The Iconic Allen's Boots Clubhouse!,51183342,Hunter,,78704,30.247942,-97.749763,Entire home/apt,,1,311,2025-02-10,1.96,8,0,28,
233930,The Treehouse 1930's Hyde Park Home,578211,Pete,,78751,30.30289,-97.72961,Entire home/apt,139,20,125,2025-02-17,0.78,10,346,16,
238657,Hill House in Wonderful Bouldin!,1250939,Carole,,78704,30.252,-97.75628,Entire home/apt,202,2,277,2025-03-03,2.35,4,202,50,
240541,Stay in the Birdhouse! East/Downtow,1246229,Elizabeth,,78702,30.25424,-97.72587,Entire home/apt,113,1,914,2025-02-16,5.75,3,45,89,
248515,Cute Eastside Bungalow -  Perfect Austin Base,1208485,Caitlin,,78702,30.25572,-97.72874,Entire home/apt,200,2,238,2025-02-18,1.50,2,148,36,
252804,"» 2 bed, sleeps 4, 2 miles to DT",1327500,Brooks,,78704,30.23254,-97.75479,Entire home/apt,223,3,91,2021-09-24,0.56,1,166,0,
254232,Exceptional Luxury Home Central Austin,1335409,Eric,,78703,30.278654098510742,-97.75550842285156,Entire home/apt,604,4,13,2024-10-21,0.08,2,3,3,
271052,Entire Condo is South Austin 78704!,1418696,Kelsey,,78704,30.25367,-97.77253,Entire home/apt,212,3,69,2025-02-17,0.44,1,322,15,
277028,One of a kind stay In the Heart of ATX,746455,Michael,,78703,30.28332,-97.76272,Entire home/apt,539,1,128,2025-02-23,0.79,5,258,8,
281182,SXSW House in East ATX-near metro rail,1465788,Michelle,,78702,30.28032,-97.70708,Entire home/apt,400,2,60,2024-11-29,0.38,1,0,6,
282342,3bedroom 2.5bath Kitchen Garage 30days EV CHRGR,1471597,Teresa,,78758,30.36774,-97.7078,Entire home/apt,,30,32,2023-12-21,0.20,1,13,0,
295275,Stylish 3/2/2 with large backyard,1282837,Joseph,,78745,30.19037,-97.79003,Entire home/apt,143,30,70,2024-11-15,0.44,1,349,3,
299282,Light Filled Historic Home monthly stays Hyde Park,1541934,Margo,,78751,30.30986,-97.73018,Entire home/apt,,30,36,2019-12-12,0.23,8,0,0,
300574,Historic So Austin RetroHipGroovy LoftCottage78704,167892,Veronica,,78704,30.25508,-97.75767,Entire home/apt,350,2,486,2025-03-09,3.06,1,334,19,
304808,Spanish Hacienda mile from downtown,1566930,Chris,,78702,30.2733,-97.7269,Private room,189,2,396,2025-02-16,2.47,1,329,20,
304866,Big cute clean Casita in SxSAustin TX!,1568741,Jim O',,78745,30.20943,-97.77117,Entire home/apt,95,2,194,2025-01-23,1.21,19,361,10,
305392,SXSW * Eastside * Walk everywhere!,117233,Paige,,78702,30.25688,-97.73244,Entire home/apt,,3,13,2022-03-17,0.09,1,0,0,
315239,Very convenient for SxSW,1617870,John,,78745,30.21467,-97.77901,Entire home/apt,600,3,2,2014-03-17,0.01,1,365,0,
316630,"Hip, convenient home in 78704!",1626165,Gretchen,,78704,30.25472,-97.75562,Entire home/apt,,3,9,2015-03-24,0.06,1,0,0,
319759,Swanky Townhome+Rooftop | Downtown | 6th Street!,814883,Kristen,,78702,30.2656766,-97.7332943,Entire home/apt,1104,1,355,2025-01-11,2.24,13,346,24,
319887,Quaint East Austin 2BR SXSW 2016,1640158,Jeremy,,78702,30.25328,-97.72968,Entire home/apt,,4,2,2015-03-18,0.01,1,0,0,
319894,The Perfect Austin Modern Home,1640172,Gary,,78724,30.28354,-97.64966,Entire home/apt,271,2,230,2025-03-02,1.46,1,250,23,
322834,Spacious 3/2 East Austin Home,3797734,Leslie And Dylan,,78702,30.26849,-97.71874,Entire home/apt,,4,47,2018-03-25,0.30,1,0,0,
323733,4th St Loft in Downtown Austin!,1654178,Erik,,78701,30.26843,-97.74548,Entire home/apt,,1,360,2019-10-25,2.28,1,0,0,
324480,Charming Central Austin Apartment,1660476,Mark,,78705,30.29905,-97.73881,Entire home/apt,75,30,1,2022-09-20,0.03,2,363,0,
325889,"Fun House, Fantastic Location, Jacuzzi, Vid Games",1666874,Brian,,78704,30.24583,-97.75472,Entire home/apt,713,3,110,2025-03-12,0.69,1,1,12,
329172,"Hillside designer home,10 min.dwntn",1680871,Janet,,78746,30.30085,-97.80794,Entire home/apt,505,3,7,2022-08-07,0.04,1,347,0,
329306,"Urban Homestead, 5 minutes to downtown",880571,Angel,,78702,30.27232,-97.72579,Private room,257,2,663,2025-02-23,4.20,5,66,36,
330301,Entire Upstairs Near Apple & Domain with Hottub,1685125,Janet,,78729,30.44934,-97.76359,Private room,114,2,25,2021-11-24,0.16,1,341,0,
331549,One Room with Private Bathroom,1690383,Sandra,,78725,30.23911,-97.58625,Private room,,2,0,,,1,0,0,
333442,Rare Secluded 1940s Cool Blue Private Pool,1698318,Virginia,,78703,30.31267,-97.76641,Entire home/apt,234,3,189,2025-03-03,1.26,1,278,12,
333815,Solar Sanctuary - Austin Room,372962,Kim,,78704,30.25381,-97.75262,Private room,198,2,197,2025-02-27,1.25,1,141,21,
334554,ACL Great 2Bed Condo minutes to Downtown & Zilker,1703984,Cindy,,78704,30.24178,-97.77681,Entire home/apt,,7,6,2019-03-12,0.04,1,0,0,
334616,Great SXSW East Central Apartment,608539,D,,78741,30.24481,-97.72379,Entire home/apt,,1,2,2013-03-17,0.01,1,0,0,
335231,Travis Heights Urban Farm House,1665428,Krista,,78704,30.23841,-97.74402,Entire home/apt,150,28,2,2024-05-03,0.01,1,173,1,
335945,"Comfy, Quiet and Well Appointed Austin townhome",1555683,Patrick,,78741,30.24026,-97.73338,Entire home/apt,295,4,33,2023-10-23,0.21,1,0,0,
337125,"1800 Sq ft, 3-2 home in NW Austin",261883,Carolyn,,78759,30.42035,-97.76685,Private room,80,32,33,2015-10-06,0.21,1,83,0,
340630,2 Bedroom duplex for monthly rental,531267,Shelley,,78757,30.33061,-97.72531,Entire home/apt,,30,28,2024-11-24,0.18,4,0,3,
341382,SXSW | 4 bedroom home near Downtown,1205884,Luke And Rachel,,78702,30.26543,-97.71338,Entire home/apt,,4,124,2019-03-17,0.78,1,0,0,
341530,The Austinville House South Congress,740347,Chris,,78704,30.24746,-97.75662,Entire home/apt,155,2,207,2024-11-16,1.32,2,170,6,
341596,South Austin Ultra Modern,1733004,Julie,,78704,30.24623,-97.75904,Private room,120,2,104,2024-10-20,0.66,1,180,6,
342039,"Garden Guesthouse, central East Austin gem.",1735494,Steph And Joey,,78702,30.25158,-97.73147,Entire home/apt,131,1,416,2025-02-02,2.63,2,162,26,
342243,Spacious Private Master Suite by the Month.,1736662,Teresa,,78759,30.41633,-97.75228,Private room,40,31,6,2024-12-04,0.08,1,114,2,
343462,Charming Family Friendly Studio,1742984,Rachel,,78721,30.26895,-97.68947,Entire home/apt,128,1,287,2025-03-02,1.82,1,343,18,
343889,Close-in Central/East Garage Apt,1744639,Darcy,,78702,30.27293,-97.72288,Entire home/apt,52,30,41,2024-11-04,0.26,1,176,5,
345221,Austin Historic Home Downtown SxSW,1644218,Cecily,,78701,30.27247,-97.74796,Entire home/apt,,3,8,2019-11-03,0.05,2,0,0,
345473,Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,1751224,Whitney,,78704,30.24619,-97.74569,Entire home/apt,378,3,256,2025-02-22,1.75,1,214,33,
345536,Artist's Hm. in Hip Bouldin Creek Area,1752493,Gigi,,78704,30.2466,-97.76157,Entire home/apt,262,1,345,2025-03-03,2.20,2,220,24,
347572,East Austin Bungalow,1761506,Savanna,,78702,30.26448,-97.71715,Entire home/apt,,2,29,2020-03-01,0.18,1,0,0,
347654,"Location! SOCO, S Congress 3bd Home w/ Cowboy Pool",1761915,Charm,,78704,30.23661,-97.7449,Entire home/apt,740,1,71,2024-09-02,0.45,3,108,2,
347935,for formula one only...,1763742,Amber,,78704,30.25152,-97.76212,Entire home/apt,,5,1,2012-03-18,0.01,1,0,0,
349447,"Eastside Cabana - Near UT,Downtown",1770424,Jason,,78702,30.27871,-97.72332,Entire home/apt,196,1,1003,2025-02-23,6.34,8,1,84,
349635,Central Austin Bed and Bath ( private bath) 78703,1771402,Cynthia Parrott,,78703,30.29932,-97.77631,Private room,78,1,74,2024-10-20,0.53,2,83,5,
775192,Private Bedroom/Bathroom SE Austin,2438977,David,,78741,30.23746,-97.7099,Private room,,1,2,2013-03-18,0.01,1,0,0,
776649,Huge house 15mins walk to Downtown,1101753,John & Tina,,78704,30.24369,-97.74169,Entire home/apt,,2,58,2019-08-04,0.40,1,0,0,
785963,Bouldin Cottage,4143759,Katy,,78704,30.24784,-97.76318,Entire home/apt,298,2,129,2025-02-17,0.96,1,0,18,
789994,"Private room in 3 BR condo Austin, TX",4162906,Edward &Quot;Jack&Quot;,,78752,30.32713,-97.68127,Private room,,1,0,,,1,0,0,
801521,Fantastic SOCO Studio,4218754,Jana,,78704,30.23457,-97.7615,Entire home/apt,138,2,282,2025-03-09,1.91,3,3,45,
811086,UNIQUE Downtown/ Prime Location/CLEAN,419707,Julia,,78701,30.27485,-97.7486,Entire home/apt,,1,7,2019-04-28,0.09,3,0,0,
813709,Cozy Bright Hyde Park Guest House,578211,Pete,,78751,30.30263,-97.7293,Entire home/apt,102,14,71,2025-02-21,0.48,10,352,6,
814908,"The Austin Oasis, Best Group Travel Spot in Austin",2762526,Moya,,78704,30.25551,-97.7741,Entire home/apt,763,3,107,2025-02-16,0.72,8,225,20,
350072,Updated Home Near Downtown w/Pool,1714818,Jessica,,78704,30.24643,-97.76403,Entire home/apt,,3,6,2014-11-04,0.04,1,0,0,
351865,French country charming room/bath,1782559,Julie,,78754,30.33345,-97.64937,Private room,,1,0,,,1,0,0,
353261,4/3.5 SoCo Bungalow,1789494,Lara,,78704,30.24276,-97.75211,Entire home/apt,489,3,225,2024-10-20,1.68,1,0,6,
354263,Best Little Guesthouse in Austin,1752493,Gigi,,78704,30.24821,-97.76343,Entire home/apt,173,1,434,2025-03-03,2.74,2,339,17,
354513,SXSW-Historic Home luxury-Central East Downtown,1795232,Sara,,78702,30.25884,-97.73056,Entire home/apt,,3,5,2017-03-15,0.03,1,0,0,
354569,Ultimate casually elegant retreat,2049988,Mike,,78703,30.28885,-97.76001,Entire home/apt,,3,10,2017-05-21,0.06,1,0,0,
355176,Private South Austin Guest House,1798140,Scott,,78745,30.22187,-97.7747,Entire home/apt,,30,20,2021-05-02,0.13,1,0,0,
355232,Great SXSW Location. 3br/2baths,1798084,Jeffrey,,78704,30.24748,-97.74724,Entire home/apt,1000,1,5,2024-10-20,0.03,1,365,2,
355328,SXSW - musician's home,1798834,Joan,,78704,30.23928,-97.77907,Entire home/apt,,1,0,,,1,0,0,
355792,"Clean, Cute & Central-Clarksville!",1801114,Truong-An,,78703,30.28097,-97.75393,Entire home/apt,,2,13,2021-11-29,0.08,1,0,0,
356675,Midcentury Modern in Central Austin,1805253,Trey,,78703,30.3054,-97.76974,Entire home/apt,,30,2,2013-06-01,0.01,1,0,0,
356719,Cozy and Modern Home,1805524,Jai,,78723,30.30571,-97.69464,Entire home/apt,,2,1,2012-11-20,0.01,1,0,0,
356837,Upscale 3 story Downtown Townhouse,1806205,Varun,,78701,30.28184,-97.74276,Entire home/apt,316,28,41,2025-01-02,0.26,3,289,6,
357529,Zilker Home walking distance to Zilker Park,1808807,Renee,,78704,30.25478,-97.76854,Entire home/apt,375,3,420,2025-02-17,2.66,1,107,40,
358643,Entertainers Delight Close to SOCO,1815367,Kathy,,78704,30.22971,-97.76695,Entire home/apt,,1,0,,,1,0,0,
362460,SXSW  Bungalow Available 2/1,1831617,Chris,,78756,30.31744,-97.74547,Entire home/apt,,4,0,,,1,0,0,
362525,Quiet Country Cottage Near Downtown,1827423,Vicki,,78741,30.22314,-97.71985,Entire home/apt,67,30,42,2024-04-30,0.27,1,311,1,
362662,Downtown Central Austin East - HUGE HOUSE,1832618,Robert,,78702,30.25313,-97.72534,Entire home/apt,991,2,106,2023-11-13,0.71,1,346,0,
363944,The Big Zilker. Minutes to it all!,1840480,Philip,,78704,30.25795,-97.77202,Entire home/apt,1350,4,33,2023-05-08,0.25,14,123,0,
364025,Perfect for ACL/SXSW. Walk everywhere!,1839064,Adriana,,78703,30.27371,-97.75301,Entire home/apt,,5,13,2019-03-14,0.09,1,0,0,
364269,"Zilker Treehouse. Minutes Music, Eateries more.",1840480,Philip,,78704,30.25954,-97.76978,Entire home/apt,430,4,124,2025-01-04,0.78,14,224,10,
365471,Hip E.Side Downtwn House Walk 2 ALL!,1845598,Daniel Kade,,78702,30.259561656337453,-97.7343602180481,Entire home/apt,652,1,110,2024-10-21,0.69,1,237,5,
367356,"2BR dog-friendly w/patio, W/D, full kitchen",1488733,Vacasa Texas,,78751,30.3065,-97.72278,Entire home/apt,,1,188,2025-03-09,1.19,11,359,6,
367789,Completely Renovated Mid Century,1856695,John,,78703,30.30549,-97.77147,Entire home/apt,,4,1,2014-03-17,0.01,1,0,0,
369090,SXSW Walk to Downtown. 2br Apt.,1861886,Sarah,,78704,30.25858,-97.75181,Entire home/apt,,1,0,,,1,0,0,
381240,SoCo  LUX Urban abode- Walk to South Congress,1887493,Susan,,78704,30.253802570621524,-97.74358690201373,Entire home/apt,484,4,17,2024-10-22,0.12,1,282,4,
406911,Austin Soul/Banana Bread/Massage Chair/SxSW/ACL,1652515,Cynthia,,78704,30.25909,-97.756,Entire home/apt,234,1,461,2025-03-12,3.05,1,326,19,
412290,GREAT Room - SOUTH CONGRESS Area!,1726978,Benjamin,,78704,30.23899,-97.7522,Private room,,3,51,2015-05-19,0.34,2,0,0,
424279,"Steps to S. Congress, 2 bedroom oasis w/ pool",1275188,Susie & Eoin,,78704,30.241,-97.75371,Entire home/apt,174,28,30,2024-12-01,0.21,1,3,1,
430683,Architectual Gem/ Pool,2141281,Melanie,,78731,30.33875,-97.76135,Entire home/apt,,31,2,2016-05-30,0.01,4,0,0,
433996,Modern Loft in the Heart of ATX | Walk to Zilker,2157243,Sean,,78704,30.26139,-97.77566,Entire home/apt,234,2,315,2025-01-31,2.03,9,184,20,
435211,Austin Historic home bedroom only,1644218,Cecily,,78701,30.27241,-97.74894,Private room,,2,163,2020-02-15,1.04,2,0,0,
461404,Cute & Cozy Central Austin House,1021729,Nita,,78756,30.3239,-97.731,Entire home/apt,179,2,99,2024-12-29,0.66,1,162,5,
463790,Classy Private Executive Home,1487463,Al,,78736,30.23945,-97.90395,Entire home/apt,200,30,0,,,1,257,0,
474901,Minutes to Zilker Park and Barton Springs!,2354063,Marit,,78704,30.25174,-97.78213,Entire home/apt,539,2,5,2016-10-10,0.04,1,365,0,
479197,Funky SoFi Condo! Walk downtown! Private bathroom,1918269,Amanda,,78704,30.258,-97.75195,Private room,60,30,35,2024-03-31,0.23,3,263,1,
485360,Downtown Condo with Austin's skyline view!,2402591,Jane,,78702,30.26778,-97.72849,Entire home/apt,309,4,161,2024-05-19,1.32,1,16,9,
501861,Cozy SoCo Guest House,2476440,Michelle,,78704,30.253061,-97.745712,Entire home/apt,321,2,145,2025-03-08,1.43,3,344,23,
510168,The Retreat,793021,Steve,,78733,30.34253,-97.8616,Entire home/apt,234,2,136,2024-12-27,1.09,2,340,13,
517378,South Austin Condo with Great View,2546917,Clint,,78745,30.20976,-97.81729,Entire home/apt,,1,0,,,1,0,0,
517430,Modern Upper Level Apartment Minutes from Downtown,2546775,Rice,,78705,30.29961,-97.73449,Entire home/apt,175,2,204,2025-03-04,1.47,1,201,16,
521689,Austin  Get Away,2565803,Christine,,78745,30.20208,-97.81443,Entire home/apt,137,30,17,2020-03-16,0.13,1,97,0,
522136,Downtown Oasis - Quiet Retreat,2567934,Alexis,,78701,30.27936,-97.74362,Entire home/apt,351,3,541,2025-03-11,3.49,1,121,26,
525231,"Brentwood Guest House, 875 sq ft, Fenced Yard",2507231,Kris,,78757,30.34024,-97.73739,Entire home/apt,146,2,141,2025-02-17,0.93,1,215,19,
528338,Suite Spot (Zilker),2595932,Amber,,78704,30.2619,-97.76328,Entire home/apt,207,2,573,2025-02-24,3.69,1,10,30,
540377,Beautiful SoCo House near downtown,989596,John,,78704,30.24852,-97.74502,Entire home/apt,,3,7,2020-03-21,0.05,2,0,0,
542124,Live Like a Local!,2457470,Sharon,,78702,30.27514,-97.71954,Private room,95,2,63,2024-10-21,0.43,1,2,5,
560094,"SXSW special, perfect central location, pets ok!",4335991,Karen,,78704,30.24887,-97.7854,Entire home/apt,800,2,93,2024-03-31,0.61,1,142,1,
563735,Zen Modern Home Near Downtown AUS,2771838,Pamela,,78704,30.25289,-97.79371,Private room,55,30,1,2013-10-07,0.01,1,315,0,
587572,Austin Getaway,7976770,Andrew,,78704,30.24546,-97.76627,Entire home/apt,131,2,201,2024-11-18,1.32,1,360,5,
592958,South Congress Spacious and Beautiful Bungalow!,2927288,Tracy,,78704,30.24373,-97.75394,Entire home/apt,559,1,148,2025-03-10,1.01,1,0,41,
602877,Stylish North Central with Pool - Walking friendly,1280071,Alexis,,78757,30.35992,-97.7331,Entire home/apt,85,7,6,2024-02-11,0.04,1,348,0,
607536,Mid-Century Modern East Austin- 2 Rooms in a house,2546033,Adam,,78723,30.30308,-97.67689,Private room,160,30,149,2024-10-21,0.98,4,314,1,
609618,Clean Room & Own Bath in 50's home,2989106,Janet,,78722,30.29991,-97.71398,Private room,,2,28,2019-12-09,0.19,1,0,0,
622495,The Blue Dahlia--close to Downtown!,12409,Flip,,78705,30.28714,-97.75258,Entire home/apt,110,30,59,2024-12-04,0.39,1,294,15,
628034,Charming Vintage Craftsman w/ Huge Yard - East DT,2436512,Crystal,,78702,30.27191,-97.71989,Entire home/apt,,1,759,2025-02-23,4.98,7,288,56,
632659,Central/East Maple Ave. Guest House,3147504,Michelle,,78722,30.28273,-97.71702,Entire home/apt,282,2,518,2025-02-23,3.46,1,129,58,
637480,NA Bright Cozy Gem,3179679,Jaz,,78703,30.27808,-97.75098,Entire home/apt,,3,10,2019-10-14,0.10,1,0,0,
644051,"Central Austin, close to everything. Monthly rates",3222157,Tracey,,78704,30.25084,-97.73897,Entire home/apt,664,2,36,2022-06-22,0.26,1,365,0,
649833,SXSW Downtown Austin 94 Walk Score,3262147,Perry,,78701,30.27508,-97.75095,Entire home/apt,899,3,1,2013-03-13,0.01,1,365,0,
660425,The Casita on Hether St,3333277,Gisela,,78704,30.25278,-97.77303,Entire home/apt,153,2,183,2024-12-04,1.21,1,0,7,
664013,Private Room in Rustic Cottage-Multiple Nights,265070,Lata,,78733,30.34998,-97.85608,Private room,82,2,195,2024-04-14,1.32,2,0,2,
666423,Zilker Neighborhood Bungalow SXSW,2350380,Nessa,,78704,30.24831,-97.77864,Entire home/apt,356,2,19,2024-10-21,0.14,3,365,4,
666768,Detached Studio.shared bath/kitchen,2350380,Nessa,,78704,30.24747,-97.77826,Private room,90,2,12,2024-05-28,0.09,3,365,2,
668239,Cheerful Bungalow Close to Downtown Available SXSW,3382193,Ayann & Sebastian,,78704,30.24389,-97.76607,Entire home/apt,,3,115,2022-03-27,0.79,1,0,0,
668301,A Place To Stay In Austin,2885190,John,,78704,30.24706,-97.75664,Entire home/apt,302,2,188,2025-01-20,1.25,1,63,7,
